GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	P32855	SEC8	GO:0006893		559292	SEC8,YPR055W,YP9499.11	P
UniProtKB	P32855	SEC8	GO:0006887		559292	SEC8,YPR055W,YP9499.11	P
UniProtKB	P32855	SEC8	GO:0006904		559292	SEC8,YPR055W,YP9499.11	P
UniProtKB	P32855	SEC8	GO:0090522		559292	SEC8,YPR055W,YP9499.11	P
UniProtKB	P32855	SEC8	GO:0006887		559292	SEC8,YPR055W,YP9499.11	P
UniProtKB	P32855	SEC8	GO:0006893		559292	SEC8,YPR055W,YP9499.11	P
UniProtKB	P32855	SEC8	GO:0006893		559292	SEC8,YPR055W,YP9499.11	P
UniProtKB	P32855	SEC8	GO:0006887		559292	SEC8,YPR055W,YP9499.11	P
UniProtKB	P32855	SEC8	GO:0090522		559292	SEC8,YPR055W,YP9499.11	P
UniProtKB	P32857	PTM1	GO:0042147		559292	PTM1,YKL039W,YKL252	P
UniProtKB	P32864	MRS6	GO:0016192		559292	MRS6,MSI4,YOR370C	P
UniProtKB	P32864	MRS6	GO:0006888		559292	MRS6,MSI4,YOR370C	P
UniProtKB	P32867	SSO1	GO:0006906		559292	SSO1,YPL232W,P1405	P
UniProtKB	P32867	SSO1	GO:0006887		559292	SSO1,YPL232W,P1405	P
UniProtKB	P32867	SSO1	GO:0048278		559292	SSO1,YPL232W,P1405	P
UniProtKB	P32867	SSO1	GO:0016192		559292	SSO1,YPL232W,P1405	P
UniProtKB	P32867	SSO1	GO:0006906		559292	SSO1,YPL232W,P1405	P
UniProtKB	P32867	SSO1	GO:0035493		559292	SSO1,YPL232W,P1405	P
UniProtKB	P32867	SSO1	GO:0035493		559292	SSO1,YPL232W,P1405	P
UniProtKB	P32893	TRS65	GO:0006891		559292	TRS65,KRE11,YGR166W	P
UniProtKB	P32893	TRS65	GO:0006891		559292	TRS65,KRE11,YGR166W	P
UniProtKB	P32893	TRS65	GO:0006891		559292	TRS65,KRE11,YGR166W	P
UniProtKB	P32893	TRS65	GO:0006891		559292	TRS65,KRE11,YGR166W	P
UniProtKB	P32909	SMY2	GO:0006888		559292	SMY2,YBR172C,YBR1233	P
UniProtKB	P32909	SMY2	GO:0006888		559292	SMY2,YBR172C,YBR1233	P
UniProtKB	P32912	VAM7	GO:0006906		559292	VAM7,YGL212W	P
UniProtKB	P32912	VAM7	GO:0048278		559292	VAM7,YGL212W	P
UniProtKB	P32912	VAM7	GO:0006906		559292	VAM7,YGL212W	P
UniProtKB	P32912	VAM7	GO:0061909		559292	VAM7,YGL212W	P
UniProtKB	P32913	VPS17	GO:0042147		559292	VPS17,PEP21,YOR132W,O3314,YOR3314W	P
UniProtKB	P32913	VPS17	GO:0042147		559292	VPS17,PEP21,YOR132W,O3314,YOR3314W	P
UniProtKB	P32913	VPS17	GO:0042147		559292	VPS17,PEP21,YOR132W,O3314,YOR3314W	P
UniProtKB	P32939	YPT7	GO:0016192		559292	YPT7,VAM4,YML001W,YM8270.02	P
UniProtKB	P32939	YPT7	GO:0006897		559292	YPT7,VAM4,YML001W,YM8270.02	P
UniProtKB	P32939	YPT7	GO:0042147		559292	YPT7,VAM4,YML001W,YM8270.02	P
UniProtKB	P33328	SNC2	GO:0006906		559292	SNC2,YOR327C	P
UniProtKB	P33328	SNC2	GO:0016192		559292	SNC2,YOR327C	P
UniProtKB	P33328	SNC2	GO:0006906		559292	SNC2,YOR327C	P
UniProtKB	P33328	SNC2	GO:0006897		559292	SNC2,YOR327C	P
UniProtKB	P33328	SNC2	GO:0006893		559292	SNC2,YOR327C	P
UniProtKB	P33328	SNC2	GO:0006887		559292	SNC2,YOR327C	P
UniProtKB	P33332	SEC3	GO:0006893		559292	SEC3,PSL1,YER008C	P
UniProtKB	P33332	SEC3	GO:0006887		559292	SEC3,PSL1,YER008C	P
UniProtKB	P33332	SEC3	GO:0006887		559292	SEC3,PSL1,YER008C	P
UniProtKB	P33332	SEC3	GO:0006887		559292	SEC3,PSL1,YER008C	P
UniProtKB	P33332	SEC3	GO:0001927		559292	SEC3,PSL1,YER008C	P
UniProtKB	P33332	SEC3	GO:0006893		559292	SEC3,PSL1,YER008C	P
UniProtKB	P33332	SEC3	GO:0006893		559292	SEC3,PSL1,YER008C	P
UniProtKB	P33332	SEC3	GO:0006887		559292	SEC3,PSL1,YER008C	P
UniProtKB	P33332	SEC3	GO:0006887		559292	SEC3,PSL1,YER008C	P
UniProtKB	P33332	SEC3	GO:0006887		559292	SEC3,PSL1,YER008C	P
UniProtKB	P33332	SEC3	GO:0006887		559292	SEC3,PSL1,YER008C	P
UniProtKB	P33332	SEC3	GO:0090522		559292	SEC3,PSL1,YER008C	P
UniProtKB	P33338	SLA2	GO:0035615		559292	SLA2,END4,MOP2,UFG1,YNL243W,N1102	F
UniProtKB	P33338	SLA2	GO:0006897		559292	SLA2,END4,MOP2,UFG1,YNL243W,N1102	P
UniProtKB	P33338	SLA2	GO:0006897		559292	SLA2,END4,MOP2,UFG1,YNL243W,N1102	P
UniProtKB	P33338	SLA2	GO:0006897		559292	SLA2,END4,MOP2,UFG1,YNL243W,N1102	P
UniProtKB	P33338	SLA2	GO:0006887		559292	SLA2,END4,MOP2,UFG1,YNL243W,N1102	P
UniProtKB	P33891	TIP20	GO:0006890		559292	TIP20,TIP1,YGL145W	P
